iter	Passed	Remaining
0	164	164001
1	165	82480
2	166	55169
3	166	41509
4	167	33321
5	167	27821
6	168	23906
7	169	20998
8	169	18705
9	170	16873
10	171	15375
11	171	14128
12	172	13074
13	172	12167
14	173	11380
15	173	10692
16	174	10087
17	174	9547
18	175	9066
19	176	8634
20	176	8242
21	177	7883
22	177	7555
23	178	7256
24	179	6984
25	179	6731
26	180	6501
27	180	6281
28	181	6078
29	182	5896
30	183	5726
31	183	5559
32	184	5403
33	185	5259
34	185	5119
35	186	4988
36	186	4864
37	187	4747
38	188	4633
39	188	4525
40	189	4424
41	189	4327
42	190	4236
43	190	4148
44	191	4063
45	192	3983
46	192	3906
47	193	3835
48	193	3763
49	194	3696
50	195	3630
51	195	3568
52	196	3509
53	196	3450
54	197	3394
55	198	3340
56	198	3288
57	199	3237
58	199	3187
59	200	3139
60	200	3093
61	201	3048
62	201	3004
63	202	2961
64	203	2920
65	203	2881
66	204	2843
67	204	2801
68	204	2764
69	205	2729
70	206	2696
71	206	2662
72	207	2631
73	207	2600
74	208	2570
75	208	2539
76	209	2512
77	210	2483
78	210	2455
79	211	2430
80	212	2405
81	212	2379
82	213	2354
83	213	2330
84	214	2304
85	214	2281
86	215	2256
87	215	2235
88	216	2213
89	216	2192
90	217	2171
91	218	2151
92	218	2131
93	219	2111
94	219	2093
95	220	2074
96	220	2055
97	221	2038
98	222	2022
99	222	2005
100	223	1989
101	223	1970
102	224	1954
103	225	1938
104	225	1923
105	226	1908
106	226	1893
107	227	1878
108	228	1863
109	228	1849
110	229	1835
111	229	1821
112	230	1807
113	230	1794
114	231	1782
115	232	1768
116	232	1755
117	233	1742
118	233	1729
119	234	1717
120	234	1706
121	235	1694
122	235	1681
123	236	1670
124	236	1658
125	237	1647
126	238	1636
127	238	1625
128	239	1615
129	239	1605
130	240	1596
131	241	1585
132	241	1576
133	242	1566
134	243	1557
135	243	1547
136	244	1538
137	244	1528
138	245	1519
139	246	1511
140	246	1502
141	247	1493
142	247	1484
143	248	1476
144	249	1468
145	249	1460
146	250	1452
147	250	1444
148	251	1435
149	251	1427
150	252	1420
151	253	1412
152	253	1404
153	254	1397
154	254	1390
155	255	1382
156	256	1375
157	256	1368
158	257	1361
159	257	1354
160	258	1348
161	259	1341
162	259	1334
163	260	1327
164	261	1321
165	261	1315
166	262	1308
167	262	1302
168	263	1295
169	264	1289
170	264	1283
171	265	1277
172	265	1271
173	266	1265
174	267	1259
175	267	1253
176	268	1247
177	268	1241
178	269	1235
179	269	1229
180	270	1223
181	270	1217
182	271	1211
183	271	1206
184	272	1200
185	273	1195
186	273	1189
187	274	1185
188	274	1180
189	275	1174
190	276	1169
191	276	1164
192	277	1159
193	277	1154
194	278	1149
195	279	1144
196	279	1139
197	280	1134
198	280	1130
199	281	1125
200	281	1120
201	282	1115
202	282	1110
203	283	1105
204	283	1101
205	284	1096
206	285	1092
207	285	1087
208	286	1083
209	286	1079
210	287	1075
211	288	1070
212	288	1066
213	289	1062
214	289	1058
215	290	1054
216	291	1050
217	291	1045
218	292	1041
219	292	1037
220	293	1033
221	293	1029
222	294	1025
223	295	1022
224	295	1018
225	296	1014
226	296	1010
227	297	1006
228	297	1003
229	298	999
230	299	995
231	299	992
232	300	989
233	301	986
234	302	983
235	302	979
236	303	975
237	303	972
238	304	968
239	304	965
240	305	961
241	305	958
242	306	954
243	307	951
244	307	947
245	308	944
246	308	941
247	309	938
248	310	935
249	310	931
250	311	928
251	311	924
252	312	921
253	312	918
254	313	915
255	314	912
256	314	909
257	315	906
258	315	903
259	316	899
260	316	896
261	317	893
262	317	890
263	318	887
264	319	884
265	319	881
266	320	878
267	320	875
268	321	873
269	321	869
270	322	867
271	322	864
272	323	861
273	323	858
274	324	855
275	325	853
